Strategy,Sharpe,Sortino,Volatility,CAGR,Max Drawdown,Hit Ratio,Trades,Avg Profit/Trade,Ticker,Z_threshold,MOM_threshold,Transaction_cost
Mean Reversion,-0.21,-0.29,0.93,-0.47,1.09,0.39,7,-0.0219,FUBO,0.25,0.005,0.001
Momentum,0.06,0.08,0.96,-0.34,1.41,0.42,22,0.0071,FUBO,0.25,0.005,0.001
Combined,-0.1,-0.05,0.3,-0.07,0.66,0.07,23,0.004,FUBO,0.25,0.005,0.001
Buy & Hold,0.19,0.32,1.08,-0.3,6.1,0.42,-,-,FUBO,0.25,0.005,0.001
Mean Reversion,-0.76,-0.87,1.06,-0.75,1.64,0.41,6,0.0052,RIOT,0.25,0.005,0.001
Momentum,0.67,1.06,1.07,0.17,25.9,0.43,14,0.0392,RIOT,0.25,0.005,0.001
Combined,-0.14,-0.06,0.34,-0.1,0.72,0.06,14,0.0196,RIOT,0.25,0.005,0.001
Buy & Hold,0.82,1.55,1.14,0.35,43.63,0.46,-,-,RIOT,0.25,0.005,0.001
Mean Reversion,-0.57,-0.78,0.62,-0.42,1.03,0.39,7,-0.0165,SOFI,0.25,0.005,0.001
Momentum,0.29,0.36,0.62,-0.02,1.71,0.4,13,0.0246,SOFI,0.25,0.005,0.001
Combined,-0.5,-0.2,0.17,-0.1,0.5,0.03,10,0.0105,SOFI,0.25,0.005,0.001
Buy & Hold,0.44,0.84,0.76,0.06,1.76,0.48,-,-,SOFI,0.25,0.005,0.001
Mean Reversion,0.09,0.12,1.04,-0.36,1.03,0.36,8,0.0078,BCLI,0.25,0.005,0.001
Momentum,-0.43,-0.45,1.05,-0.66,3.38,0.42,19,-0.0209,BCLI,0.25,0.005,0.001
Combined,-0.58,-0.18,0.28,-0.18,0.8,0.05,12,-0.0095,BCLI,0.25,0.005,0.001
Buy & Hold,0.08,0.1,1.05,-0.4,5.1,0.44,-,-,BCLI,0.25,0.005,0.001
Mean Reversion,0.34,0.39,1.06,-0.22,3.88,0.41,4,0.019,SNDL,0.25,0.005,0.001
Momentum,0.06,0.06,1.08,-0.61,3.65,0.4,11,-0.0058,SNDL,0.25,0.005,0.001
